STATION,DATETIME,TEMPERATURE,RAINFALL,WINDSPEED,HUMIDITY
133,2016-04-01 00:00,10.8,,0,38
133,2016-04-01 01:00,9.5,,.1,49
133,2016-04-01 02:00,8.6,,.3,49
133,2016-04-01 03:00,7.8,,1.1,52
133,2016-04-01 04:00,6.5,,.1,60
133,2016-04-01 05:00,5.9,,.2,60
133,2016-04-01 06:00,5.2,,.1,63
133,2016-04-01 07:00,5.1,,1.3,66
133,2016-04-01 08:00,7,,.4,58
133,2016-04-01 09:00,10.9,,.2,48
133,2016-04-01 10:00,15,,.7,35
133,2016-04-01 11:00,18.6,,2,30
133,2016-04-01 12:00,21.2,,1,22
133,2016-04-01 13:00,22.7,,.5,18
133,2016-04-01 14:00,24.6,,1.4,15
133,2016-04-01 15:00,24.9,,1.5,11
133,2016-04-01 16:00,24.7,,1.2,12
133,2016-04-01 17:00,24.2,,1.9,17
133,2016-04-01 18:00,21.8,,2.3,24
133,2016-04-01 19:00,19.4,,2.1,27
133,2016-04-01 20:00,17.4,,2,31
133,2016-04-01 21:00,16.1,,1.2,32
133,2016-04-01 22:00,14.9,,.9,34
133,2016-04-01 23:00,13.4,,1,42
133,2016-04-02 00:00,12.3,,0,42
133,2016-04-02 01:00,11.1,,0,50
133,2016-04-02 02:00,10,,0,53
133,2016-04-02 03:00,9.3,,.1,58
133,2016-04-02 04:00,8.4,,.6,58
133,2016-04-02 05:00,7.6,,1.1,62
133,2016-04-02 06:00,7,,.4,65
133,2016-04-02 07:00,7.3,,.9,66
133,2016-04-02 08:00,8.5,,.3,65
133,2016-04-02 09:00,11.8,,.5,49
133,2016-04-02 10:00,15.7,,.7,40
133,2016-04-02 11:00,18.8,,1.3,33
133,2016-04-02 12:00,21.6,,1.8,24
133,2016-04-02 13:00,22.2,,2.2,23
133,2016-04-02 14:00,23.2,,2.1,22
133,2016-04-02 15:00,24.1,,2.4,20
133,2016-04-02 16:00,24.1,,2.2,18
133,2016-04-02 17:00,23.3,,2.4,19
133,2016-04-02 18:00,21.9,,1.6,24
133,2016-04-02 19:00,19.7,,1.5,30
133,2016-04-02 20:00,18,,1.9,39
133,2016-04-02 21:00,17.4,,.8,38
133,2016-04-02 22:00,16.8,,.4,42
133,2016-04-02 23:00,15.7,,2.3,43
133,2016-04-03 00:00,15,,1.6,49
133,2016-04-03 01:00,14.5,,.6,55
133,2016-04-03 02:00,14.2,,1.3,56
133,2016-04-03 03:00,12.9,,.1,63
133,2016-04-03 04:00,12.5,,1.1,65
133,2016-04-03 05:00,11.9,,1.4,66
133,2016-04-03 06:00,11.5,,1.2,69
133,2016-04-03 07:00,10.9,,.7,71
133,2016-04-03 08:00,12.2,,1.1,69
133,2016-04-03 09:00,14,,1.2,59
133,2016-04-03 10:00,15.9,,1.4,55
133,2016-04-03 11:00,15.7,,1.9,56
133,2016-04-03 12:00,16.3,,1.8,53
133,2016-04-03 13:00,15.7,,2.3,54
133,2016-04-03 14:00,15.3,0,2,60
133,2016-04-03 15:00,14.9,.1,2,60
133,2016-04-03 16:00,14.8,0,2.2,58
133,2016-04-03 17:00,14.6,,1.1,59
133,2016-04-03 18:00,14.4,0,1.6,61
133,2016-04-03 19:00,13.2,.1,2.1,70
133,2016-04-03 20:00,12.8,0,1.5,75
133,2016-04-03 21:00,12,1.4,.6,89
133,2016-04-03 22:00,11.5,.9,1,93
133,2016-04-03 23:00,11.3,0,1.3,93
133,2016-04-04 00:00,11.2,0,.9,93
133,2016-04-04 01:00,11,,.9,92
133,2016-04-04 02:00,10.8,,1.9,92
133,2016-04-04 03:00,10.8,,1.2,91
133,2016-04-04 04:00,10.5,,1.1,91
133,2016-04-04 05:00,10.3,,1,90
133,2016-04-04 06:00,10.1,,1.1,90
133,2016-04-04 07:00,10.1,,.6,89
133,2016-04-04 08:00,10.4,,1,89
133,2016-04-04 09:00,10.9,,.6,87
133,2016-04-04 10:00,12.5,,1.2,79
133,2016-04-04 11:00,15.5,,2.9,59
133,2016-04-04 12:00,16.6,,3.9,55
133,2016-04-04 13:00,17.7,,3.4,54
133,2016-04-04 14:00,17.5,,2.5,56
133,2016-04-04 15:00,18,,3.7,53
133,2016-04-04 16:00,17.5,,3.2,55
133,2016-04-04 17:00,17.3,,3,55
133,2016-04-04 18:00,16.3,,2.2,60
133,2016-04-04 19:00,15.7,,2.6,61
133,2016-04-04 20:00,14.8,,1.6,62
133,2016-04-04 21:00,13.5,,2.8,65
133,2016-04-04 22:00,13.3,,1.2,62
133,2016-04-04 23:00,13,,.8,57
133,2016-04-05 00:00,11.8,,1.8,56
133,2016-04-05 01:00,10.3,,1.3,55
133,2016-04-05 02:00,9,,1.7,58
133,2016-04-05 03:00,8.1,,1.8,63
133,2016-04-05 04:00,7.6,,2.6,66
133,2016-04-05 05:00,7,,1.6,66
133,2016-04-05 06:00,5.8,,1.3,73
133,2016-04-05 07:00,5.6,,.6,74
133,2016-04-05 08:00,7.7,,1.2,65
133,2016-04-05 09:00,10.4,,1.5,51
133,2016-04-05 10:00,13.2,,1.8,35
133,2016-04-05 11:00,15.4,,2.2,27
133,2016-04-05 12:00,17.1,,1.9,19
133,2016-04-05 13:00,18.7,,2.2,19
133,2016-04-05 14:00,19,,2.1,18
133,2016-04-05 15:00,20,,2.2,17
133,2016-04-05 16:00,20.4,,1.5,14
133,2016-04-05 17:00,20.5,,2,14
133,2016-04-05 18:00,18.6,,2,21
133,2016-04-05 19:00,16.3,,1.9,24
133,2016-04-05 20:00,14.6,,1.1,27
133,2016-04-05 21:00,13.2,,1.6,31
133,2016-04-05 22:00,12.3,,1.6,34
133,2016-04-05 23:00,11.3,,1.6,36
133,2016-04-06 00:00,10.5,,1.7,39
133,2016-04-06 01:00,9.2,,.1,43
133,2016-04-06 02:00,8.2,,1.1,52
133,2016-04-06 03:00,7.9,,.9,53
133,2016-04-06 04:00,6.9,,1,59
133,2016-04-06 05:00,6.1,,.8,61
133,2016-04-06 06:00,5.5,,.9,64
133,2016-04-06 07:00,5.6,,0,66
133,2016-04-06 08:00,7.8,,.3,63
133,2016-04-06 09:00,11,,.6,52
133,2016-04-06 10:00,13.4,,.6,46
133,2016-04-06 11:00,16.5,,1,34
133,2016-04-06 12:00,19.6,,3.2,32
133,2016-04-06 13:00,22.2,,2.7,28
133,2016-04-06 14:00,23.3,,2.9,23
133,2016-04-06 15:00,23.5,,2.7,23
133,2016-04-06 16:00,23.1,,3.2,17
133,2016-04-06 17:00,22.1,,4.1,15
133,2016-04-06 18:00,20.8,,3.9,17
133,2016-04-06 19:00,18.3,0,3.9,37
133,2016-04-06 20:00,15,.2,3.7,58
133,2016-04-06 21:00,13.2,.2,3.5,70
133,2016-04-06 22:00,11.4,.8,3.8,80
133,2016-04-06 23:00,10.7,.6,4.1,82
133,2016-04-07 00:00,9.8,2.6,2,90
133,2016-04-07 01:00,9.5,3.5,2.2,92
133,2016-04-07 02:00,9.4,2.9,1.7,94
133,2016-04-07 03:00,9.4,2.1,1.5,94
133,2016-04-07 04:00,9.3,2.3,1.4,95
133,2016-04-07 05:00,9.1,2.4,1.2,96
133,2016-04-07 06:00,9.2,2.6,.6,97
133,2016-04-07 07:00,9.5,1.3,.8,97
133,2016-04-07 08:00,9.8,1.7,1.2,97
133,2016-04-07 09:00,10.5,.9,.3,97
133,2016-04-07 10:00,11.7,.4,1.2,95
133,2016-04-07 11:00,13.4,0,1.6,86
133,2016-04-07 12:00,15.4,,1.2,74
133,2016-04-07 13:00,15.7,,.4,72
133,2016-04-07 14:00,16.7,,1.1,68
133,2016-04-07 15:00,17.6,,2.6,65
133,2016-04-07 16:00,18.1,,.9,64
133,2016-04-07 17:00,18.2,,2.5,59
133,2016-04-07 18:00,17.7,,1.7,61
133,2016-04-07 19:00,16.1,,2.4,59
133,2016-04-07 20:00,14.8,,.7,62
133,2016-04-07 21:00,14.3,,1.3,64
133,2016-04-07 22:00,13.5,,1,72
133,2016-04-07 23:00,12.7,,.9,74
133,2016-04-08 00:00,11.8,,1.1,79
133,2016-04-08 01:00,11.2,,1.7,84
133,2016-04-08 02:00,10.5,,1.2,86
133,2016-04-08 03:00,10.1,,1.6,90
133,2016-04-08 04:00,9.6,,1.1,92
133,2016-04-08 05:00,8.6,,.6,94
133,2016-04-08 06:00,8.5,,.9,95
133,2016-04-08 07:00,9,,1,96
133,2016-04-08 08:00,9.2,,.4,96
133,2016-04-08 09:00,9.8,,.4,94
133,2016-04-08 10:00,11,,1.4,88
133,2016-04-08 11:00,13.7,,2,76
133,2016-04-08 12:00,16.1,,2.1,64
133,2016-04-08 13:00,19.3,,1.8,53
133,2016-04-08 14:00,21,,2.7,32
133,2016-04-08 15:00,21.6,,2.2,32
133,2016-04-08 16:00,21.3,,2.6,39
133,2016-04-08 17:00,20.5,,2.9,44
133,2016-04-08 18:00,18.8,,2.9,55
133,2016-04-08 19:00,16.7,,2.9,59
133,2016-04-08 20:00,15.4,,1.7,66
133,2016-04-08 21:00,14.3,,2,67
133,2016-04-08 22:00,13.4,,1.9,70
133,2016-04-08 23:00,13.1,,2.5,76
133,2016-04-09 00:00,12.5,,2.8,75
